road_id,year,pci_score,structural_condition,monsoon_cycles_survived,drainage_proximity_score
RD_SCL_02,2022,91.3,Good,3,0.75
RD_SCL_02,2023,91.6,Good,2,0.75
RD_SCL_02,2024,90.7,Good,1,0.75
RD_AMB_01,2019,87.6,Good,6,0.83
RD_AMB_01,2020,87.1,Good,5,0.83
RD_AMB_01,2021,86.8,Good,4,0.83
RD_AMB_01,2022,85.7,Good,3,0.83
RD_AMB_01,2023,82.2,Good,2,0.83
RD_AMB_01,2024,84.0,Good,1,0.83
RD_AMB_02,2019,74.6,Good,6,0.87
RD_AMB_02,2020,65.6,Fair,5,0.87
RD_AMB_02,2021,63.1,Fair,4,0.87
RD_AMB_02,2022,54.8,Fair,3,0.87
RD_AMB_02,2023,48.1,Poor / Reconstruction Required,2,0.87
RD_AMB_02,2024,42.1,Poor / Reconstruction Required,1,0.87
RD_SNB_01,2019,83.6,Good,6,0.81
RD_SNB_01,2020,82.9,Good,5,0.81
RD_SNB_01,2021,83.6,Good,4,0.81
RD_SNB_01,2022,80.8,Good,3,0.81
RD_SNB_01,2023,79.8,Good,2,0.81
RD_SNB_01,2024,76.9,Good,1,0.81
RD_MDR_01,2019,97.5,Good,6,0.75
RD_MDR_01,2020,98.3,Good,5,0.75
RD_MDR_01,2021,96.4,Good,4,0.75
RD_MDR_01,2022,95.5,Good,3,0.75
RD_MDR_01,2023,94.0,Good,2,0.75
RD_MDR_01,2024,92.3,Good,1,0.75
RD_EFR_01,2019,100.0,Good,6,0.1
RD_EFR_01,2020,100.0,Good,5,0.1
RD_EFR_01,2021,99.2,Good,4,0.1
RD_EFR_01,2022,94.8,Good,3,0.1
RD_EFR_01,2023,91.5,Good,2,0.1
RD_EFR_01,2024,86.2,Good,1,0.1
RD_CST_01,2019,100.0,Good,6,0.73
RD_CST_01,2020,100.0,Good,5,0.73
RD_CST_01,2021,100.0,Good,4,0.73
RD_CST_01,2022,98.4,Good,3,0.73
RD_CST_01,2023,96.1,Good,2,0.73
RD_CST_01,2024,96.1,Good,1,0.73
RD_LOC_001,2019,79.1,Good,6,0.75
RD_LOC_001,2020,78.8,Good,5,0.75
RD_LOC_001,2021,79.7,Good,4,0.75
RD_LOC_001,2022,77.5,Good,3,0.75
RD_LOC_001,2023,75.0,Good,2,0.75
RD_LOC_001,2024,74.6,Good,1,0.75
RD_LOC_002,2019,79.7,Good,6,0.68
RD_LOC_002,2020,74.9,Good,5,0.68
RD_LOC_002,2021,69.5,Fair,4,0.68
RD_LOC_002,2022,65.7,Fair,3,0.68
RD_LOC_002,2023,61.1,Fair,2,0.68
RD_LOC_002,2024,57.0,Fair,1,0.68
RD_LOC_003,2019,89.3,Good,6,0.27
RD_LOC_003,2020,88.4,Good,5,0.27
RD_LOC_003,2021,87.0,Good,4,0.27
RD_LOC_003,2022,86.1,Good,3,0.27
RD_LOC_003,2023,85.2,Good,2,0.27
RD_LOC_003,2024,82.2,Good,1,0.27
RD_LOC_004,2019,63.5,Fair,6,0.42
RD_LOC_004,2020,59.2,Fair,5,0.42
RD_LOC_004,2021,55.7,Fair,4,0.42
RD_LOC_004,2022,50.8,Fair,3,0.42
RD_LOC_004,2023,44.9,Poor / Reconstruction Required,2,0.42
RD_LOC_004,2024,43.0,Poor / Reconstruction Required,1,0.42
RD_LOC_005,2019,85.6,Good,6,0.8
RD_LOC_005,2020,83.9,Good,5,0.8
RD_LOC_005,2021,83.2,Good,4,0.8
RD_LOC_005,2022,81.2,Good,3,0.8
RD_LOC_005,2023,81.1,Good,2,0.8
RD_LOC_005,2024,80.9,Good,1,0.8
RD_LOC_006,2019,89.4,Good,6,0.59
RD_LOC_006,2020,85.1,Good,5,0.59
RD_LOC_006,2021,81.7,Good,4,0.59
RD_LOC_006,2022,75.5,Good,3,0.59
RD_LOC_006,2023,72.2,Good,2,0.59
RD_LOC_006,2024,68.0,Fair,1,0.59
RD_LOC_007,2019,87.9,Good,6,0.34
RD_LOC_007,2020,84.7,Good,5,0.34
RD_LOC_007,2021,78.9,Good,4,0.34
RD_LOC_007,2022,75.0,Good,3,0.34
RD_LOC_007,2023,70.7,Good,2,0.34
RD_LOC_007,2024,64.6,Fair,1,0.34
RD_LOC_008,2019,82.9,Good,6,0.66
RD_LOC_008,2020,82.5,Good,5,0.66
RD_LOC_008,2021,80.4,Good,4,0.66
RD_LOC_008,2022,79.0,Good,3,0.66
RD_LOC_008,2023,79.3,Good,2,0.66
RD_LOC_008,2024,78.0,Good,1,0.66
RD_LOC_009,2019,89.3,Good,6,0.72
RD_LOC_009,2020,83.4,Good,5,0.72
RD_LOC_009,2021,81.5,Good,4,0.72
RD_LOC_009,2022,76.2,Good,3,0.72
RD_LOC_009,2023,72.8,Good,2,0.72
RD_LOC_009,2024,67.8,Fair,1,0.72
RD_LOC_010,2019,64.8,Fair,6,0.39
RD_LOC_010,2020,60.4,Fair,5,0.39
RD_LOC_010,2021,57.9,Fair,4,0.39
RD_LOC_010,2022,52.8,Fair,3,0.39
RD_LOC_010,2023,50.7,Fair,2,0.39
RD_LOC_010,2024,46.4,Poor / Reconstruction Required,1,0.39
RD_LOC_011,2019,66.5,Fair,6,0.74
RD_LOC_011,2020,63.1,Fair,5,0.74
RD_LOC_011,2021,58.2,Fair,4,0.74
RD_LOC_011,2022,54.2,Fair,3,0.74
RD_LOC_011,2023,50.9,Fair,2,0.74
RD_LOC_011,2024,47.6,Poor / Reconstruction Required,1,0.74
RD_LOC_012,2019,72.9,Good,6,0.57
RD_LOC_012,2020,67.9,Fair,5,0.57
RD_LOC_012,2021,65.3,Fair,4,0.57
RD_LOC_012,2022,58.6,Fair,3,0.57
RD_LOC_012,2023,58.1,Fair,2,0.57
RD_LOC_012,2024,54.2,Fair,1,0.57
RD_LOC_013,2019,72.2,Good,6,0.19
RD_LOC_013,2020,68.8,Fair,5,0.19
RD_LOC_013,2021,62.9,Fair,4,0.19
RD_LOC_013,2022,61.1,Fair,3,0.19
RD_LOC_013,2023,57.7,Fair,2,0.19
RD_LOC_013,2024,53.2,Fair,1,0.19
RD_LOC_014,2019,88.8,Good,6,0.49
RD_LOC_014,2020,83.3,Good,5,0.49
RD_LOC_014,2021,77.7,Good,4,0.49
RD_LOC_014,2022,74.3,Good,3,0.49
RD_LOC_014,2023,69.9,Fair,2,0.49
RD_LOC_014,2024,65.8,Fair,1,0.49
RD_LOC_015,2019,92.1,Good,6,0.69
RD_LOC_015,2020,90.9,Good,5,0.69
RD_LOC_015,2021,90.6,Good,4,0.69
RD_LOC_015,2022,87.5,Good,3,0.69
RD_LOC_015,2023,89.0,Good,2,0.69
RD_LOC_015,2024,85.0,Good,1,0.69
RD_LOC_016,2019,54.7,Fair,6,0.5
RD_LOC_016,2020,52.6,Fair,5,0.5
RD_LOC_016,2021,47.5,Poor / Reconstruction Required,4,0.5
RD_LOC_016,2022,43.0,Poor / Reconstruction Required,3,0.5
RD_LOC_016,2023,39.0,Poor / Reconstruction Required,2,0.5
RD_LOC_016,2024,34.8,Poor / Reconstruction Required,1,0.5
RD_LOC_017,2019,60.3,Fair,6,0.62
RD_LOC_017,2020,58.3,Fair,5,0.62
RD_LOC_017,2021,54.1,Fair,4,0.62
RD_LOC_017,2022,49.6,Poor / Reconstruction Required,3,0.62
RD_LOC_017,2023,46.0,Poor / Reconstruction Required,2,0.62
RD_LOC_017,2024,38.7,Poor / Reconstruction Required,1,0.62
RD_LOC_018,2019,72.8,Good,6,0.1
RD_LOC_018,2020,66.3,Fair,5,0.1
RD_LOC_018,2021,61.8,Fair,4,0.1
RD_LOC_018,2022,57.2,Fair,3,0.1
RD_LOC_018,2023,54.9,Fair,2,0.1
RD_LOC_018,2024,50.2,Fair,1,0.1
RD_LOC_019,2019,99.2,Good,6,0.43
RD_LOC_019,2020,99.2,Good,5,0.43
RD_LOC_019,2021,96.4,Good,4,0.43
RD_LOC_019,2022,94.6,Good,3,0.43
RD_LOC_019,2023,94.7,Good,2,0.43
RD_LOC_019,2024,93.7,Good,1,0.43
RD_LOC_020,2019,72.3,Good,6,0.33
RD_LOC_020,2020,67.1,Fair,5,0.33
RD_LOC_020,2021,63.0,Fair,4,0.33
RD_LOC_020,2022,60.2,Fair,3,0.33
RD_LOC_020,2023,53.5,Fair,2,0.33
RD_LOC_020,2024,51.2,Fair,1,0.33
RD_LOC_021,2019,85.5,Good,6,0.83
RD_LOC_021,2020,79.2,Good,5,0.83
RD_LOC_021,2021,70.9,Good,4,0.83
RD_LOC_021,2022,64.6,Fair,3,0.83
RD_LOC_021,2023,60.7,Fair,2,0.83
RD_LOC_021,2024,52.0,Fair,1,0.83
RD_LOC_022,2019,71.3,Good,6,0.43
RD_LOC_022,2020,65.9,Fair,5,0.43
RD_LOC_022,2021,62.2,Fair,4,0.43
RD_LOC_022,2022,58.9,Fair,3,0.43
RD_LOC_022,2023,55.1,Fair,2,0.43
RD_LOC_022,2024,50.9,Fair,1,0.43
RD_LOC_023,2019,100.0,Good,6,0.85
RD_LOC_023,2020,99.5,Good,5,0.85
RD_LOC_023,2021,89.8,Good,4,0.85
RD_LOC_023,2022,83.4,Good,3,0.85
RD_LOC_023,2023,78.9,Good,2,0.85
RD_LOC_023,2024,74.2,Good,1,0.85
RD_LOC_024,2019,85.5,Good,6,0.57
RD_LOC_024,2020,81.5,Good,5,0.57
RD_LOC_024,2021,80.5,Good,4,0.57
RD_LOC_024,2022,80.4,Good,3,0.57
RD_LOC_024,2023,79.2,Good,2,0.57
RD_LOC_024,2024,77.1,Good,1,0.57
RD_LOC_025,2019,80.8,Good,6,0.73
RD_LOC_025,2020,80.2,Good,5,0.73
RD_LOC_025,2021,79.3,Good,4,0.73
RD_LOC_025,2022,77.6,Good,3,0.73
RD_LOC_025,2023,76.7,Good,2,0.73
RD_LOC_025,2024,74.7,Good,1,0.73
RD_LOC_026,2019,85.2,Good,6,0.1
RD_LOC_026,2020,82.2,Good,5,0.1
RD_LOC_026,2021,76.9,Good,4,0.1
RD_LOC_026,2022,73.4,Good,3,0.1
RD_LOC_026,2023,70.1,Good,2,0.1
RD_LOC_026,2024,64.1,Fair,1,0.1
RD_LOC_027,2019,79.7,Good,6,0.37
RD_LOC_027,2020,75.0,Good,5,0.37
RD_LOC_027,2021,72.5,Good,4,0.37
RD_LOC_027,2022,67.3,Fair,3,0.37
RD_LOC_027,2023,63.1,Fair,2,0.37
RD_LOC_027,2024,60.0,Fair,1,0.37
RD_LOC_028,2019,82.6,Good,6,0.84
RD_LOC_028,2020,82.7,Good,5,0.84
RD_LOC_028,2021,83.2,Good,4,0.84
RD_LOC_028,2022,78.8,Good,3,0.84
RD_LOC_028,2023,79.1,Good,2,0.84
RD_LOC_028,2024,79.3,Good,1,0.84
RD_LOC_029,2019,96.0,Good,6,0.85
RD_LOC_029,2020,96.0,Good,5,0.85
RD_LOC_029,2021,91.0,Good,4,0.85
RD_LOC_029,2022,92.7,Good,3,0.85
RD_LOC_029,2023,91.4,Good,2,0.85
RD_LOC_029,2024,91.1,Good,1,0.85
RD_LOC_030,2019,81.7,Good,6,0.65
RD_LOC_030,2020,81.7,Good,5,0.65
RD_LOC_030,2021,82.0,Good,4,0.65
RD_LOC_030,2022,79.6,Good,3,0.65
RD_LOC_030,2023,77.5,Good,2,0.65
RD_LOC_030,2024,76.3,Good,1,0.65
RD_LOC_031,2019,58.1,Fair,6,0.77
RD_LOC_031,2020,55.0,Fair,5,0.77
RD_LOC_031,2021,48.9,Poor / Reconstruction Required,4,0.77
RD_LOC_031,2022,45.2,Poor / Reconstruction Required,3,0.77
RD_LOC_031,2023,43.9,Poor / Reconstruction Required,2,0.77
RD_LOC_031,2024,36.4,Poor / Reconstruction Required,1,0.77
RD_LOC_032,2019,77.2,Good,6,0.68
RD_LOC_032,2020,72.7,Good,5,0.68
RD_LOC_032,2021,70.2,Good,4,0.68
RD_LOC_032,2022,65.8,Fair,3,0.68
RD_LOC_032,2023,62.1,Fair,2,0.68
RD_LOC_032,2024,55.8,Fair,1,0.68
RD_LOC_033,2019,63.7,Fair,6,0.63
RD_LOC_033,2020,57.2,Fair,5,0.63
RD_LOC_033,2021,53.7,Fair,4,0.63
RD_LOC_033,2022,49.3,Poor / Reconstruction Required,3,0.63
RD_LOC_033,2023,43.1,Poor / Reconstruction Required,2,0.63
RD_LOC_033,2024,39.9,Poor / Reconstruction Required,1,0.63
RD_LOC_034,2019,91.1,Good,6,0.86
RD_LOC_034,2020,90.4,Good,5,0.86
RD_LOC_034,2021,86.8,Good,4,0.86
RD_LOC_034,2022,86.1,Good,3,0.86
RD_LOC_034,2023,87.2,Good,2,0.86
RD_LOC_034,2024,85.2,Good,1,0.86
RD_LOC_035,2019,87.2,Good,6,0.8
RD_LOC_035,2020,89.0,Good,5,0.8
RD_LOC_035,2021,85.7,Good,4,0.8
RD_LOC_035,2022,84.2,Good,3,0.8
RD_LOC_035,2023,83.2,Good,2,0.8
RD_LOC_035,2024,81.6,Good,1,0.8
RD_LOC_036,2019,97.7,Good,6,0.62
RD_LOC_036,2020,97.3,Good,5,0.62
RD_LOC_036,2021,96.4,Good,4,0.62
RD_LOC_036,2022,93.8,Good,3,0.62
RD_LOC_036,2023,94.6,Good,2,0.62
RD_LOC_036,2024,91.8,Good,1,0.62
RD_LOC_037,2019,92.0,Good,6,0.75
RD_LOC_037,2020,88.6,Good,5,0.75
RD_LOC_037,2021,85.5,Good,4,0.75
RD_LOC_037,2022,80.5,Good,3,0.75
RD_LOC_037,2023,75.6,Good,2,0.75
RD_LOC_037,2024,71.7,Good,1,0.75
RD_LOC_038,2019,90.1,Good,6,0.73
RD_LOC_038,2020,86.3,Good,5,0.73
RD_LOC_038,2021,83.0,Good,4,0.73
RD_LOC_038,2022,78.1,Good,3,0.73
RD_LOC_038,2023,71.9,Good,2,0.73
RD_LOC_038,2024,68.9,Fair,1,0.73
RD_LOC_039,2019,61.3,Fair,6,0.63
RD_LOC_039,2020,56.2,Fair,5,0.63
RD_LOC_039,2021,52.6,Fair,4,0.63
RD_LOC_039,2022,45.4,Poor / Reconstruction Required,3,0.63
RD_LOC_039,2023,44.5,Poor / Reconstruction Required,2,0.63
RD_LOC_039,2024,40.2,Poor / Reconstruction Required,1,0.63
RD_LOC_040,2019,98.7,Good,6,0.81
RD_LOC_040,2020,91.7,Good,5,0.81
RD_LOC_040,2021,86.1,Good,4,0.81
RD_LOC_040,2022,78.5,Good,3,0.81
RD_LOC_040,2023,72.2,Good,2,0.81
RD_LOC_040,2024,64.3,Fair,1,0.81
RD_LOC_041,2019,100.0,Good,6,0.12
RD_LOC_041,2020,100.0,Good,5,0.12
RD_LOC_041,2021,98.6,Good,4,0.12
RD_LOC_041,2022,97.7,Good,3,0.12
RD_LOC_041,2023,96.6,Good,2,0.12
RD_LOC_041,2024,95.0,Good,1,0.12
RD_LOC_042,2019,65.2,Fair,6,0.66
RD_LOC_042,2020,60.2,Fair,5,0.66
RD_LOC_042,2021,54.7,Fair,4,0.66
RD_LOC_042,2022,50.9,Fair,3,0.66
RD_LOC_042,2023,45.3,Poor / Reconstruction Required,2,0.66
RD_LOC_042,2024,42.8,Poor / Reconstruction Required,1,0.66
RD_LOC_043,2019,91.6,Good,6,0.61
RD_LOC_043,2020,91.2,Good,5,0.61
RD_LOC_043,2021,91.0,Good,4,0.61
RD_LOC_043,2022,90.2,Good,3,0.61
RD_LOC_043,2023,88.3,Good,2,0.61
RD_LOC_043,2024,87.4,Good,1,0.61
RD_LOC_044,2019,63.8,Fair,6,0.74
RD_LOC_044,2020,60.3,Fair,5,0.74
RD_LOC_044,2021,55.9,Fair,4,0.74
RD_LOC_044,2022,54.6,Fair,3,0.74
RD_LOC_044,2023,46.8,Poor / Reconstruction Required,2,0.74
RD_LOC_044,2024,44.3,Poor / Reconstruction Required,1,0.74
RD_LOC_045,2019,88.4,Good,6,0.71
RD_LOC_045,2020,84.8,Good,5,0.71
RD_LOC_045,2021,78.0,Good,4,0.71
RD_LOC_045,2022,75.5,Good,3,0.71
RD_LOC_045,2023,70.2,Good,2,0.71
RD_LOC_045,2024,67.9,Fair,1,0.71
RD_LOC_046,2019,89.7,Good,6,0.67
RD_LOC_046,2020,84.6,Good,5,0.67
RD_LOC_046,2021,82.2,Good,4,0.67
RD_LOC_046,2022,77.5,Good,3,0.67
RD_LOC_046,2023,71.2,Good,2,0.67
RD_LOC_046,2024,66.0,Fair,1,0.67
RD_LOC_047,2019,85.5,Good,6,0.72
RD_LOC_047,2020,79.3,Good,5,0.72
RD_LOC_047,2021,76.4,Good,4,0.72
RD_LOC_047,2022,72.1,Good,3,0.72
RD_LOC_047,2023,69.4,Fair,2,0.72
RD_LOC_047,2024,64.8,Fair,1,0.72
RD_LOC_048,2019,87.0,Good,6,0.65
RD_LOC_048,2020,83.0,Good,5,0.65
RD_LOC_048,2021,79.9,Good,4,0.65
RD_LOC_048,2022,75.5,Good,3,0.65
RD_LOC_048,2023,70.7,Good,2,0.65
RD_LOC_048,2024,66.1,Fair,1,0.65
RD_LOC_049,2019,84.9,Good,6,0.43
RD_LOC_049,2020,84.2,Good,5,0.43
RD_LOC_049,2021,81.6,Good,4,0.43
RD_LOC_049,2022,79.2,Good,3,0.43
RD_LOC_049,2023,78.2,Good,2,0.43
RD_LOC_049,2024,77.4,Good,1,0.43
RD_LOC_050,2019,81.0,Good,6,0.63
RD_LOC_050,2020,80.0,Good,5,0.63
RD_LOC_050,2021,78.7,Good,4,0.63
RD_LOC_050,2022,77.2,Good,3,0.63
RD_LOC_050,2023,76.9,Good,2,0.63
RD_LOC_050,2024,74.8,Good,1,0.63
RD_LOC_051,2019,57.3,Fair,6,0.52
RD_LOC_051,2020,52.2,Fair,5,0.52
RD_LOC_051,2021,48.5,Poor / Reconstruction Required,4,0.52
RD_LOC_051,2022,44.4,Poor / Reconstruction Required,3,0.52
RD_LOC_051,2023,41.4,Poor / Reconstruction Required,2,0.52
RD_LOC_051,2024,36.6,Poor / Reconstruction Required,1,0.52
RD_LOC_052,2019,100.0,Good,6,0.83
RD_LOC_052,2020,93.3,Good,5,0.83
RD_LOC_052,2021,87.0,Good,4,0.83
RD_LOC_052,2022,81.5,Good,3,0.83
RD_LOC_052,2023,72.9,Good,2,0.83
RD_LOC_052,2024,65.9,Fair,1,0.83
RD_LOC_053,2019,82.0,Good,6,0.6
RD_LOC_053,2020,81.9,Good,5,0.6
RD_LOC_053,2021,79.9,Good,4,0.6
RD_LOC_053,2022,79.2,Good,3,0.6
RD_LOC_053,2023,77.9,Good,2,0.6
RD_LOC_053,2024,77.2,Good,1,0.6
RD_LOC_054,2019,61.5,Fair,6,0.45
RD_LOC_054,2020,57.5,Fair,5,0.45
RD_LOC_054,2021,52.9,Fair,4,0.45
RD_LOC_054,2022,48.6,Poor / Reconstruction Required,3,0.45
RD_LOC_054,2023,45.4,Poor / Reconstruction Required,2,0.45
RD_LOC_054,2024,41.0,Poor / Reconstruction Required,1,0.45
RD_LOC_055,2019,62.4,Fair,6,0.75
RD_LOC_055,2020,59.2,Fair,5,0.75
RD_LOC_055,2021,54.7,Fair,4,0.75
RD_LOC_055,2022,50.3,Fair,3,0.75
RD_LOC_055,2023,45.1,Poor / Reconstruction Required,2,0.75
RD_LOC_055,2024,41.9,Poor / Reconstruction Required,1,0.75
