pothole_id,road_id,road_name,ward,latitude,longitude,depth_cm,surface_area_sqm,severity_level,pavement_surface_type,primary_failure_cause,reported_by,report_date,status,repair_material_used,repair_completion_date,repair_contractor_id
PTH_2024_00032,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10122,72.85348,8.8,2.2,Critical,Mastic Asphalt,Waterlogging & Bitumen Stripping,AI Camera / Patrol Vehicle,2024-07-24,In-Progress,Pending,,CONTR_BMC_123
PTH_2024_00033,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.08977,72.85732,10.5,3.2,Critical,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,Traffic Police Notification,2024-07-04,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-07-05,CONTR_BMC_111
PTH_2024_00034,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11406,72.85566,4.1,3.38,Critical,Mastic Asphalt,Sub-grade Moisture Saturation,Citizen (MyBMC App),2024-06-16,Resolved / Repaired,Mastic Asphalt,2024-06-21,CONTR_BMC_113
PTH_2024_00035,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10919,72.85636,10.3,1.87,High,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,Traffic Police Notification,2024-06-21,Resolved / Repaired,Mastic Asphalt,2024-06-27,CONTR_BMC_121
PTH_2024_00036,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10403,72.85564,15.5,2.16,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-07-19,In-Progress,Pending,,CONTR_BMC_120
PTH_2024_00037,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.09201,72.8567,4.6,2.84,Critical,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-08-15,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-08-16,CONTR_BMC_108
PTH_2024_00038,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11598,72.85516,16.6,1.57,Critical,Mastic Asphalt,Sub-grade Moisture Saturation,AI Camera / Patrol Vehicle,2024-08-25,In-Progress,Pending,,CONTR_BMC_107
PTH_2024_00039,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.1116,72.85468,14.7,2.99,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),AI Camera / Patrol Vehicle,2024-09-04,Resolved / Repaired,Rapid Hardening Concrete,2024-09-07,CONTR_BMC_118
PTH_2024_00040,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10001,72.85698,5.8,0.81,Moderate,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-08-09,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-08-11,CONTR_BMC_117
PTH_2024_00041,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11418,72.85508,7.6,3.12,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),BMC Road Engineer Survey,2024-09-14,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-09-18,CONTR_BMC_116
PTH_2024_00042,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10107,72.85676,14.2,1.04,Critical,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,BMC Road Engineer Survey,2024-09-28,Resolved / Repaired,Rapid Hardening Concrete,2024-10-02,CONTR_BMC_111
PTH_2024_00043,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.0957,72.85449,16.2,1.35,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-08-12,Citizen Reported,Pending,,CONTR_BMC_125
PTH_2024_00044,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.1041,72.85669,5.3,2.93,Critical,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,Citizen (MyBMC App),2024-09-02,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-09-05,CONTR_BMC_110
PTH_2024_00045,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.09459,72.85362,6.5,1.52,Moderate,Mastic Asphalt,Waterlogging & Bitumen Stripping,BMC Road Engineer Survey,2024-06-17,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-06-20,CONTR_BMC_102
PTH_2024_00046,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10029,72.85533,15.3,1.83,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-06-05,Inspected - Work Order Issued,Pending,,CONTR_BMC_113
PTH_2024_00047,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11467,72.85562,5.1,0.65,Moderate,Mastic Asphalt,Sub-grade Moisture Saturation,Citizen (MyBMC App),2024-08-23,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-08-24,CONTR_BMC_116
PTH_2024_00048,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10726,72.85503,6.8,3.19,Critical,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,Citizen (MyBMC App),2024-06-13,Resolved / Repaired,Mastic Asphalt,2024-06-16,CONTR_BMC_124
PTH_2024_00049,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10016,72.85637,9.3,1.65,High,Mastic Asphalt,Sub-grade Moisture Saturation,AI Camera / Patrol Vehicle,2024-08-28,In-Progress,Pending,,CONTR_BMC_103
PTH_2024_00050,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10785,72.85241,17.0,0.53,Critical,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,Citizen (MyBMC App),2024-06-10,In-Progress,Pending,,CONTR_BMC_105
PTH_2024_00051,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11826,72.85252,11.2,1.97,High,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-08-15,Inspected - Work Order Issued,Pending,,CONTR_BMC_114
PTH_2024_00052,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10166,72.85344,6.5,1.37,Moderate,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,BMC Road Engineer Survey,2024-09-26,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-09-29,CONTR_BMC_115
PTH_2024_00053,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.09881,72.85287,12.5,1.77,Critical,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,AI Camera / Patrol Vehicle,2024-09-23,Inspected - Work Order Issued,Pending,,CONTR_BMC_118
PTH_2024_00054,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11221,72.8547,18.0,1.33,Critical,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,AI Camera / Patrol Vehicle,2024-07-06,Inspected - Work Order Issued,Pending,,CONTR_BMC_117
PTH_2024_00055,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.13763,72.85821,4.3,0.91,Moderate,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-09-05,In-Progress,Pending,,CONTR_BMC_118
PTH_2024_00056,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.13592,72.85959,10.3,1.34,High,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-09-05,Citizen Reported,Pending,,CONTR_BMC_106
PTH_2024_00057,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.14493,72.85956,11.9,1.1,High,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-07-10,In-Progress,Pending,,CONTR_BMC_116
PTH_2024_00058,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.15175,72.85968,13.6,1.36,Critical,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,BMC Road Engineer Survey,2024-09-08,In-Progress,Pending,,CONTR_BMC_113
PTH_2024_00059,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.15103,72.85955,9.6,2.04,Critical,Mastic Asphalt,Sub-grade Moisture Saturation,Traffic Police Notification,2024-08-03,Resolved / Repaired,Mastic Asphalt,2024-08-09,CONTR_BMC_117
PTH_2024_00060,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.12772,72.85876,9.9,3.18,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),AI Camera / Patrol Vehicle,2024-06-16,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-06-18,CONTR_BMC_106
PTH_2024_00061,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.15579,72.85972,10.1,1.29,High,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,AI Camera / Patrol Vehicle,2024-08-06,Inspected - Work Order Issued,Pending,,CONTR_BMC_121
PTH_2024_00062,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.13984,72.85922,11.7,1.05,High,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,AI Camera / Patrol Vehicle,2024-09-10,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-09-13,CONTR_BMC_110
PTH_2024_00063,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.12617,72.85819,7.5,1.35,High,Mastic Asphalt,Asphalt Aging & Pavement Fatigue,Citizen (MyBMC App),2024-06-26,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-06-27,CONTR_BMC_114
PTH_2024_00064,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.15412,72.85858,16.1,2.86,Critical,Mastic Asphalt,Sub-grade Moisture Saturation,Traffic Police Notification,2024-09-20,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-09-24,CONTR_BMC_102
PTH_2024_00065,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.14134,72.85816,14.8,2.45,Critical,Mastic Asphalt,Waterlogging & Bitumen Stripping,BMC Road Engineer Survey,2024-08-04,In-Progress,Pending,,CONTR_BMC_103
PTH_2024_00066,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.13102,72.85893,17.2,2.53,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-09-28,In-Progress,Pending,,CONTR_BMC_110
PTH_2024_00067,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.14848,72.85902,16.9,2.66,Critical,Mastic Asphalt,Sub-grade Moisture Saturation,AI Camera / Patrol Vehicle,2024-09-21,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-09-24,CONTR_BMC_115
PTH_2024_00068,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.15842,72.85938,13.6,1.05,Critical,Mastic Asphalt,Waterlogging & Bitumen Stripping,BMC Road Engineer Survey,2024-08-26,Resolved / Repaired,Rapid Hardening Concrete,2024-08-30,CONTR_BMC_103
PTH_2024_00069,RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,19.15711,72.85811,9.1,0.73,High,Mastic Asphalt,Waterlogging & Bitumen Stripping,Citizen (MyBMC App),2024-09-17,Resolved / Repaired,Rapid Hardening Concrete,2024-09-23,CONTR_BMC_111
PTH_2024_00070,RD_WEH_04,Western Express Highway (Goregaon to Borivali National Park),R/C,19.19749,72.86028,4.3,0.78,Moderate,Cement Concrete,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-06-02,In-Progress,Pending,,CONTR_BMC_122
PTH_2024_00071,RD_WEH_04,Western Express Highway (Goregaon to Borivali National Park),R/C,19.19923,72.86222,3.5,2.25,Critical,Cement Concrete,Sub-grade Moisture Saturation,Citizen (MyBMC App),2024-07-26,In-Progress,Pending,,CONTR_BMC_120
PTH_2024_00072,RD_WEH_05,Western Express Highway (Borivali to Dahisar Toll Naka),R/N,19.23087,72.86725,3.6,0.5,Moderate,Cement Concrete,Heavy Axle Commercial Vehicle Load,AI Camera / Patrol Vehicle,2024-07-09,In-Progress,Pending,,CONTR_BMC_122
PTH_2024_00073,RD_WEH_05,Western Express Highway (Borivali to Dahisar Toll Naka),R/N,19.22777,72.86601,4.1,1.54,Moderate,Cement Concrete,Waterlogging & Bitumen Stripping,Citizen (MyBMC App),2024-08-08,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-08-11,CONTR_BMC_118
PTH_2024_00074,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06454,72.83631,8.5,3.2,Critical,Bituminous Asphalt,Heavy Axle Commercial Vehicle Load,Traffic Police Notification,2024-07-23,In-Progress,Pending,,CONTR_BMC_115
PTH_2024_00075,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06359,72.83609,5.8,3.4,Critical,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,Citizen (MyBMC App),2024-08-17,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-08-19,CONTR_BMC_124
PTH_2024_00076,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.05935,72.83673,4.6,0.84,Moderate,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-07-23,In-Progress,Pending,,CONTR_BMC_111
PTH_2024_00077,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06708,72.83632,12.6,1.93,Critical,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,BMC Road Engineer Survey,2024-09-18,Citizen Reported,Pending,,CONTR_BMC_115
PTH_2024_00078,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06256,72.8365,7.8,0.7,High,Bituminous Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-09-18,Resolved / Repaired,Rapid Hardening Concrete,2024-09-23,CONTR_BMC_103
PTH_2024_00079,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.0735,72.8366,8.3,2.02,Critical,Bituminous Asphalt,Waterlogging & Bitumen Stripping,BMC Road Engineer Survey,2024-09-08,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-09-13,CONTR_BMC_107
PTH_2024_00080,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06781,72.83635,4.9,2.54,Critical,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,Traffic Police Notification,2024-07-07,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-07-12,CONTR_BMC_114
PTH_2024_00081,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.05846,72.83637,7.8,0.51,High,Bituminous Asphalt,Sub-grade Moisture Saturation,Traffic Police Notification,2024-09-10,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-09-11,CONTR_BMC_117
PTH_2024_00082,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06859,72.83651,6.4,0.35,Moderate,Bituminous Asphalt,Waterlogging & Bitumen Stripping,AI Camera / Patrol Vehicle,2024-06-20,Resolved / Repaired,Mastic Asphalt,2024-06-24,CONTR_BMC_114
PTH_2024_00083,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06035,72.83609,14.4,0.64,Critical,Bituminous Asphalt,Sub-grade Moisture Saturation,AI Camera / Patrol Vehicle,2024-06-28,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-07-01,CONTR_BMC_108
PTH_2024_00084,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.05664,72.8369,15.2,0.34,Critical,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,Citizen (MyBMC App),2024-06-09,In-Progress,Pending,,CONTR_BMC_122
PTH_2024_00085,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.05974,72.83638,6.5,1.96,Moderate,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-08-14,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-08-20,CONTR_BMC_120
PTH_2024_00086,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06325,72.83673,11.6,0.46,High,Bituminous Asphalt,Sub-grade Moisture Saturation,BMC Road Engineer Survey,2024-08-15,Inspected - Work Order Issued,Pending,,CONTR_BMC_109
PTH_2024_00087,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06056,72.83642,16.2,2.68,Critical,Bituminous Asphalt,Sub-grade Moisture Saturation,Citizen (MyBMC App),2024-06-03,Resolved / Repaired,Mastic Asphalt,2024-06-05,CONTR_BMC_116
PTH_2024_00088,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.06161,72.83693,14.2,0.68,Critical,Bituminous Asphalt,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-07-18,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-07-22,CONTR_BMC_122
PTH_2024_00089,RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,19.05808,72.83664,15.1,1.52,Critical,Bituminous Asphalt,Sub-grade Moisture Saturation,AI Camera / Patrol Vehicle,2024-06-04,Resolved / Repaired,Mastic Asphalt,2024-06-06,CONTR_BMC_118
