drain_id,name,system_type,ward,length_km,width_m,catchment_sqkm,capacity_cumecs,siltation_pct,outfall_location
DRN_SWD_009,H/E Ward Roadside Box Drain SWD-09,Roadside Covered Box Drain,H/E,1.7,4.3,2.06,16.4,60,Connected to Major Nallah in Ward H/E
DRN_SWD_010,P/S Ward Roadside Box Drain SWD-10,Roadside Covered Box Drain,P/S,0.87,2.2,3.08,27.5,46,Connected to Major Nallah in Ward P/S
DRN_SWD_011,P/N Ward Roadside Box Drain SWD-11,Roadside Covered Box Drain,P/N,1.62,4.0,0.93,19.1,64,Connected to Major Nallah in Ward P/N
DRN_SWD_012,K/W Ward Roadside Box Drain SWD-12,Roadside Covered Box Drain,K/W,1.82,3.8,0.93,17.0,49,Connected to Major Nallah in Ward K/W
DRN_SWD_013,E Ward Roadside Box Drain SWD-13,Roadside Covered Box Drain,E,1.35,3.8,1.79,9.9,38,Connected to Major Nallah in Ward E
DRN_SWD_014,E Ward Roadside Box Drain SWD-14,Roadside Covered Box Drain,E,1.88,2.8,1.67,29.5,44,Connected to Major Nallah in Ward E
DRN_SWD_015,T Ward Roadside Box Drain SWD-15,Roadside Covered Box Drain,T,2.29,4.0,0.8,27.0,19,Connected to Major Nallah in Ward T
DRN_SWD_016,K/W Ward Roadside Box Drain SWD-16,Roadside Covered Box Drain,K/W,2.27,2.6,2.46,13.6,30,Connected to Major Nallah in Ward K/W
DRN_SWD_017,P/N Ward Roadside Box Drain SWD-17,Roadside Covered Box Drain,P/N,1.03,3.2,2.44,29.5,62,Connected to Major Nallah in Ward P/N
DRN_SWD_018,D Ward Roadside Box Drain SWD-18,Roadside Covered Box Drain,D,2.14,3.9,2.78,27.7,16,Connected to Major Nallah in Ward D
DRN_SWD_019,B Ward Roadside Box Drain SWD-19,Roadside Covered Box Drain,B,1.93,2.6,2.59,9.0,31,Connected to Major Nallah in Ward B
DRN_SWD_020,H/W Ward Roadside Box Drain SWD-20,Roadside Covered Box Drain,H/W,1.59,3.9,1.77,20.6,36,Connected to Major Nallah in Ward H/W
DRN_SWD_021,H/E Ward Roadside Box Drain SWD-21,Roadside Covered Box Drain,H/E,2.38,4.0,2.12,9.0,40,Connected to Major Nallah in Ward H/E
DRN_SWD_022,N Ward Roadside Box Drain SWD-22,Roadside Covered Box Drain,N,2.05,2.4,0.62,18.8,45,Connected to Major Nallah in Ward N
DRN_SWD_023,D Ward Roadside Box Drain SWD-23,Roadside Covered Box Drain,D,1.99,3.9,0.63,10.5,22,Connected to Major Nallah in Ward D
DRN_SWD_024,M/W Ward Roadside Box Drain SWD-24,Roadside Covered Box Drain,M/W,2.21,4.4,1.11,27.8,52,Connected to Major Nallah in Ward M/W
DRN_SWD_025,E Ward Roadside Box Drain SWD-25,Roadside Covered Box Drain,E,1.23,4.3,2.52,21.7,64,Connected to Major Nallah in Ward E
DRN_SWD_026,H/E Ward Roadside Box Drain SWD-26,Roadside Covered Box Drain,H/E,1.62,2.8,1.23,9.0,24,Connected to Major Nallah in Ward H/E
DRN_SWD_027,R/N Ward Roadside Box Drain SWD-27,Roadside Covered Box Drain,R/N,2.46,2.0,2.4,15.1,28,Connected to Major Nallah in Ward R/N
DRN_SWD_028,D Ward Roadside Box Drain SWD-28,Roadside Covered Box Drain,D,1.84,3.1,1.66,15.9,44,Connected to Major Nallah in Ward D
DRN_SWD_029,F/S Ward Roadside Box Drain SWD-29,Roadside Covered Box Drain,F/S,2.38,1.9,1.55,9.0,47,Connected to Major Nallah in Ward F/S
DRN_SWD_030,K/E Ward Roadside Box Drain SWD-30,Roadside Covered Box Drain,K/E,2.41,3.0,2.7,28.6,46,Connected to Major Nallah in Ward K/E
DRN_SWD_031,G/S Ward Roadside Box Drain SWD-31,Roadside Covered Box Drain,G/S,0.92,3.5,2.77,9.0,41,Connected to Major Nallah in Ward G/S
DRN_SWD_032,F/N Ward Roadside Box Drain SWD-32,Roadside Covered Box Drain,F/N,1.65,2.1,3.13,11.2,27,Connected to Major Nallah in Ward F/N
DRN_SWD_033,M/E Ward Roadside Box Drain SWD-33,Roadside Covered Box Drain,M/E,2.21,2.0,2.82,15.7,57,Connected to Major Nallah in Ward M/E
DRN_SWD_034,D Ward Roadside Box Drain SWD-34,Roadside Covered Box Drain,D,1.04,3.7,3.01,13.7,62,Connected to Major Nallah in Ward D
DRN_SWD_035,R/C Ward Roadside Box Drain SWD-35,Roadside Covered Box Drain,R/C,1.22,3.9,2.84,17.2,36,Connected to Major Nallah in Ward R/C
DRN_SWD_036,D Ward Roadside Box Drain SWD-36,Roadside Covered Box Drain,D,2.02,3.4,1.79,11.0,28,Connected to Major Nallah in Ward D
DRN_SWD_037,N Ward Roadside Box Drain SWD-37,Roadside Covered Box Drain,N,1.99,3.2,0.57,15.6,51,Connected to Major Nallah in Ward N
DRN_SWD_038,P/N Ward Roadside Box Drain SWD-38,Roadside Covered Box Drain,P/N,2.21,2.0,2.31,20.2,55,Connected to Major Nallah in Ward P/N
DRN_SWD_039,R/C Ward Roadside Box Drain SWD-39,Roadside Covered Box Drain,R/C,2.47,3.1,1.03,28.4,63,Connected to Major Nallah in Ward R/C
DRN_SWD_040,B Ward Roadside Box Drain SWD-40,Roadside Covered Box Drain,B,2.49,3.2,2.76,9.6,42,Connected to Major Nallah in Ward B
DRN_SWD_041,R/S Ward Roadside Box Drain SWD-41,Roadside Covered Box Drain,R/S,2.26,4.4,2.66,19.4,29,Connected to Major Nallah in Ward R/S
DRN_SWD_042,F/N Ward Roadside Box Drain SWD-42,Roadside Covered Box Drain,F/N,1.21,1.9,0.67,22.2,25,Connected to Major Nallah in Ward F/N
DRN_SWD_043,K/W Ward Roadside Box Drain SWD-43,Roadside Covered Box Drain,K/W,2.12,3.6,0.98,14.3,20,Connected to Major Nallah in Ward K/W
DRN_SWD_044,S Ward Roadside Box Drain SWD-44,Roadside Covered Box Drain,S,1.77,2.6,0.99,10.7,49,Connected to Major Nallah in Ward S
