station_id,station_name,ward,latitude,longitude,installation_year,telemetry_interval_mins,sensor_type,operational_status
BMC_AWS_035,BMC AWS Ward M/W - Station 2,M/W,19.04178,72.88332,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_036,BMC AWS Ward M/W - Station 3,M/W,19.05075,72.88615,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_037,BMC AWS Ward N - Station 1,N,19.07351,72.89716,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_038,BMC AWS Ward N - Station 2,N,19.07639,72.911,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_039,BMC AWS Ward N - Station 3,N,19.08739,72.91305,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_040,BMC AWS Ward P/N - Station 1,P/N,19.17015,72.8264,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_041,BMC AWS Ward P/N - Station 2,P/N,19.18111,72.83385,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_042,BMC AWS Ward P/S - Station 1,P/S,19.15764,72.8337,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_043,BMC AWS Ward P/S - Station 2,P/S,19.14041,72.84283,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_044,BMC AWS Ward P/S - Station 3,P/S,19.15361,72.85358,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_045,BMC AWS Ward R/C - Station 1,R/C,19.2197,72.84894,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_046,BMC AWS Ward R/C - Station 2,R/C,19.22009,72.84302,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_047,BMC AWS Ward R/N - Station 1,R/N,19.2554,72.86511,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_048,BMC AWS Ward R/N - Station 2,R/N,19.25828,72.84677,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_049,BMC AWS Ward R/N - Station 3,R/N,19.24393,72.85048,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_050,BMC AWS Ward R/S - Station 1,R/S,19.20483,72.85349,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_051,BMC AWS Ward R/S - Station 2,R/S,19.20069,72.87557,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_052,BMC AWS Ward R/S - Station 3,R/S,19.21994,72.85184,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_053,BMC AWS Ward S - Station 1,S,19.14345,72.94213,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_054,BMC AWS Ward S - Station 2,S,19.15167,72.9211,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_055,BMC AWS Ward S - Station 3,S,19.14906,72.91936,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_056,BMC AWS Ward T - Station 1,T,19.18312,72.94919,2016,15,Tipping Bucket + Optical Pluviometer,Active
