segment_id,segment_name,corridor_code,ward,surface_type,lanes,length_km,start_lat,start_lon,end_lat,end_lon,elevation_m,pavement_age_years,pci_score,daily_pcu_traffic,nearest_drain_distance_m,baseline_pothole_prob
SEG_WEH_021,Western Express Highway - Section 21 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.45,19.15262,72.85533,19.1575,72.856,12.0,5.0,72,123250,43.0,0.186
SEG_WEH_022,Western Express Highway - Section 22 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.55,19.1575,72.856,19.16238,72.85667,11.79,1.0,90,131950,56.0,0.157
SEG_WEH_023,Western Express Highway - Section 23 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.65,19.16238,72.85667,19.16726,72.85733,12.78,8.0,59,140650,69.0,0.207
SEG_WEH_024,Western Express Highway - Section 24 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.75,19.16726,72.85733,19.17214,72.858,13.77,4.0,77,149350,82.0,0.179
SEG_WEH_025,Western Express Highway - Section 25 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.45,19.17214,72.858,19.17702,72.85867,13.56,11.0,50,158049,15.0,0.229
SEG_WEH_026,Western Express Highway - Section 26 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.55,19.17702,72.85867,19.1819,72.85933,14.5,7.0,63,123250,28.0,0.2
SEG_WEH_027,Western Express Highway - Section 27 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.65,19.1819,72.85933,19.18679,72.86,14.5,3.0,81,131950,41.0,0.171
SEG_WEH_028,Western Express Highway - Section 28 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.75,19.18679,72.86,19.19167,72.86067,14.5,10.0,50,140650,54.0,0.221
SEG_WEH_029,Western Express Highway - Section 29 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.45,19.19167,72.86067,19.19655,72.86133,14.5,6.0,68,149350,67.0,0.193
SEG_WEH_030,Western Express Highway - Section 30 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.55,19.19655,72.86133,19.20143,72.862,14.5,2.0,86,158049,80.0,0.164
SEG_WEH_031,Western Express Highway - Section 31 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.65,19.20143,72.862,19.20631,72.86267,14.5,9.0,54,123250,13.0,0.214
SEG_WEH_032,Western Express Highway - Section 32 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.75,19.20631,72.86267,19.21119,72.86333,14.5,5.0,72,131950,26.0,0.186
SEG_WEH_033,Western Express Highway - Section 33 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.45,19.21119,72.86333,19.21607,72.864,14.5,1.0,90,140650,39.0,0.157
SEG_WEH_034,Western Express Highway - Section 34 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.55,19.21607,72.864,19.22095,72.86467,14.5,8.0,59,149350,52.0,0.207
SEG_WEH_035,Western Express Highway - Section 35 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.65,19.22095,72.86467,19.22583,72.86533,14.5,4.0,77,158049,65.0,0.179
SEG_WEH_036,Western Express Highway - Section 36 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.75,19.22583,72.86533,19.23071,72.866,14.5,11.0,50,123250,78.0,0.229
SEG_WEH_037,Western Express Highway - Section 37 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.45,19.23071,72.866,19.2356,72.86667,14.5,7.0,63,131950,11.0,0.2
SEG_WEH_038,Western Express Highway - Section 38 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.55,19.2356,72.86667,19.24048,72.86733,14.5,3.0,81,140650,24.0,0.171
SEG_WEH_039,Western Express Highway - Section 39 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.65,19.24048,72.86733,19.24536,72.868,14.5,10.0,50,149350,37.0,0.221
SEG_WEH_040,Western Express Highway - Section 40 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.75,19.24536,72.868,19.25024,72.86867,14.5,6.0,68,158049,50.0,0.193
SEG_WEH_041,Western Express Highway - Section 41 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.45,19.25024,72.86867,19.25512,72.86933,14.5,2.0,86,123250,63.0,0.164
SEG_WEH_042,Western Express Highway - Section 42 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.55,19.25512,72.86933,19.26,72.87,14.5,9.0,54,131950,76.0,0.214
SEG_EEH_001,Eastern Express Highway - Section 1 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.45,19.038,72.862,19.04279,72.86484,5.64,5.0,52,110500,89.0,0.43
SEG_EEH_002,Eastern Express Highway - Section 2 (L),EEH,L,Asphalt Over CC Base,8,0.55,19.04279,72.86484,19.04758,72.86768,5.41,1.0,82,118299,22.0,0.366
SEG_EEH_003,Eastern Express Highway - Section 3 (N),EEH,N,Asphalt Over CC Base,8,0.65,19.04758,72.86768,19.05237,72.87053,5.21,8.0,30,126100,35.0,0.478
SEG_EEH_004,Eastern Express Highway - Section 4 (S),EEH,S,Asphalt Over CC Base,8,0.75,19.05237,72.87053,19.05716,72.87337,3.84,4.0,60,133900,48.0,0.414
SEG_EEH_005,Eastern Express Highway - Section 5 (T),EEH,T,Asphalt Over CC Base,8,0.45,19.05716,72.87337,19.06195,72.87621,3.78,11.0,30,141699,61.0,0.526
SEG_EEH_006,Eastern Express Highway - Section 6 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.55,19.06195,72.87621,19.06674,72.87905,3.94,7.0,37,110500,74.0,0.462
SEG_EEH_007,Eastern Express Highway - Section 7 (L),EEH,L,Asphalt Over CC Base,8,0.65,19.06674,72.87905,19.07153,72.88189,3.26,3.0,67,118299,87.0,0.398
SEG_EEH_008,Eastern Express Highway - Section 8 (N),EEH,N,Asphalt Over CC Base,8,0.75,19.07153,72.88189,19.07632,72.88474,4.07,10.0,30,126100,20.0,0.51
SEG_EEH_009,Eastern Express Highway - Section 9 (S),EEH,S,Asphalt Over CC Base,8,0.45,19.07632,72.88474,19.08111,72.88758,5.0,6.0,45,133900,33.0,0.446
SEG_EEH_010,Eastern Express Highway - Section 10 (T),EEH,T,Asphalt Over CC Base,8,0.55,19.08111,72.88758,19.08589,72.89042,4.8,2.0,75,141699,46.0,0.382
SEG_EEH_011,Eastern Express Highway - Section 11 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.65,19.08589,72.89042,19.09068,72.89326,5.82,9.0,30,110500,59.0,0.494
SEG_EEH_012,Eastern Express Highway - Section 12 (L),EEH,L,Asphalt Over CC Base,8,0.75,19.09068,72.89326,19.09547,72.89611,6.86,5.0,52,118299,72.0,0.43
SEG_EEH_013,Eastern Express Highway - Section 13 (N),EEH,N,Asphalt Over CC Base,8,0.45,19.09547,72.89611,19.10026,72.89895,6.7,1.0,82,126100,85.0,0.366
SEG_EEH_014,Eastern Express Highway - Section 14 (S),EEH,S,Asphalt Over CC Base,8,0.55,19.10026,72.89895,19.10505,72.90179,7.75,8.0,30,133900,18.0,0.478
SEG_EEH_015,Eastern Express Highway - Section 15 (T),EEH,T,Asphalt Over CC Base,8,0.65,19.10505,72.90179,19.10984,72.90463,8.81,4.0,60,141699,31.0,0.414
SEG_EEH_016,Eastern Express Highway - Section 16 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.75,19.10984,72.90463,19.11463,72.90747,8.66,11.0,30,110500,44.0,0.526
SEG_EEH_017,Eastern Express Highway - Section 17 (L),EEH,L,Asphalt Over CC Base,8,0.45,19.11463,72.90747,19.11942,72.91032,9.72,7.0,37,118299,57.0,0.462
SEG_EEH_018,Eastern Express Highway - Section 18 (N),EEH,N,Asphalt Over CC Base,8,0.55,19.11942,72.91032,19.12421,72.91316,10.78,3.0,67,126100,70.0,0.398
SEG_EEH_019,Eastern Express Highway - Section 19 (S),EEH,S,Asphalt Over CC Base,8,0.65,19.12421,72.91316,19.129,72.916,10.65,10.0,30,133900,83.0,0.51
SEG_EEH_020,Eastern Express Highway - Section 20 (T),EEH,T,Asphalt Over CC Base,8,0.75,19.129,72.916,19.13379,72.91884,11.71,6.0,45,141699,16.0,0.446
SEG_EEH_021,Eastern Express Highway - Section 21 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.45,19.13379,72.91884,19.13858,72.92168,12.77,2.0,75,110500,29.0,0.382
SEG_EEH_022,Eastern Express Highway - Section 22 (L),EEH,L,Asphalt Over CC Base,8,0.55,19.13858,72.92168,19.14337,72.92453,12.64,9.0,30,118299,42.0,0.494
SEG_EEH_023,Eastern Express Highway - Section 23 (N),EEH,N,Asphalt Over CC Base,8,0.65,19.14337,72.92453,19.14816,72.92737,13.7,5.0,52,126100,55.0,0.43
SEG_EEH_024,Eastern Express Highway - Section 24 (S),EEH,S,Asphalt Over CC Base,8,0.75,19.14816,72.92737,19.15295,72.93021,14.5,1.0,82,133900,68.0,0.366
SEG_EEH_025,Eastern Express Highway - Section 25 (T),EEH,T,Asphalt Over CC Base,8,0.45,19.15295,72.93021,19.15774,72.93305,14.5,8.0,30,141699,81.0,0.478
SEG_EEH_026,Eastern Express Highway - Section 26 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.55,19.15774,72.93305,19.16253,72.93589,14.5,4.0,60,110500,14.0,0.414
SEG_EEH_027,Eastern Express Highway - Section 27 (L),EEH,L,Asphalt Over CC Base,8,0.65,19.16253,72.93589,19.16732,72.93874,14.5,11.0,30,118299,27.0,0.526
SEG_EEH_028,Eastern Express Highway - Section 28 (N),EEH,N,Asphalt Over CC Base,8,0.75,19.16732,72.93874,19.17211,72.94158,14.5,7.0,37,126100,40.0,0.462
SEG_EEH_029,Eastern Express Highway - Section 29 (S),EEH,S,Asphalt Over CC Base,8,0.45,19.17211,72.94158,19.17689,72.94442,14.5,3.0,67,133900,53.0,0.398
SEG_EEH_030,Eastern Express Highway - Section 30 (T),EEH,T,Asphalt Over CC Base,8,0.55,19.17689,72.94442,19.18168,72.94726,14.5,10.0,30,141699,66.0,0.51
SEG_EEH_031,Eastern Express Highway - Section 31 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.65,19.18168,72.94726,19.18647,72.95011,14.5,6.0,45,110500,79.0,0.446
SEG_EEH_032,Eastern Express Highway - Section 32 (L),EEH,L,Asphalt Over CC Base,8,0.75,19.18647,72.95011,19.19126,72.95295,14.5,2.0,75,118299,12.0,0.382
SEG_EEH_033,Eastern Express Highway - Section 33 (N),EEH,N,Asphalt Over CC Base,8,0.45,19.19126,72.95295,19.19605,72.95579,14.5,9.0,30,126100,25.0,0.494
SEG_EEH_034,Eastern Express Highway - Section 34 (S),EEH,S,Asphalt Over CC Base,8,0.55,19.19605,72.95579,19.20084,72.95863,14.5,5.0,52,133900,38.0,0.43
SEG_EEH_035,Eastern Express Highway - Section 35 (T),EEH,T,Asphalt Over CC Base,8,0.65,19.20084,72.95863,19.20563,72.96147,14.5,1.0,82,141699,51.0,0.366
SEG_EEH_036,Eastern Express Highway - Section 36 (F/N),EEH,F/N,Asphalt Over CC Base,8,0.75,19.20563,72.96147,19.21042,72.96432,14.5,8.0,30,110500,64.0,0.478
SEG_EEH_037,Eastern Express Highway - Section 37 (L),EEH,L,Asphalt Over CC Base,8,0.45,19.21042,72.96432,19.21521,72.96716,14.5,4.0,60,118299,77.0,0.414
SEG_EEH_038,Eastern Express Highway - Section 38 (N),EEH,N,Asphalt Over CC Base,8,0.55,19.21521,72.96716,19.22,72.97,14.5,11.0,30,126100,10.0,0.526
SEG_SVR_001,Swami Vivekanand (SV) Road - Section 1 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.055,72.836,19.06028,72.83653,4.72,7.0,37,72250,23.0,0.462
SEG_SVR_002,Swami Vivekanand (SV) Road - Section 2 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.06028,72.83653,19.06556,72.83706,4.49,3.0,67,77350,36.0,0.398
SEG_SVR_003,Swami Vivekanand (SV) Road - Section 3 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.06556,72.83706,19.07083,72.83758,4.25,10.0,30,82450,49.0,0.51
SEG_SVR_004,Swami Vivekanand (SV) Road - Section 4 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.07083,72.83758,19.07611,72.83811,2.82,6.0,45,87550,62.0,0.446
SEG_SVR_005,Swami Vivekanand (SV) Road - Section 5 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.07611,72.83811,19.08139,72.83864,2.65,2.0,75,92649,75.0,0.382
SEG_SVR_006,Swami Vivekanand (SV) Road - Section 6 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.08139,72.83864,19.08667,72.83917,3.3,9.0,30,72250,88.0,0.494
SEG_SVR_007,Swami Vivekanand (SV) Road - Section 7 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.08667,72.83917,19.09194,72.83969,3.12,5.0,52,77350,21.0,0.43
SEG_SVR_008,Swami Vivekanand (SV) Road - Section 8 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.09194,72.83969,19.09722,72.84022,4.15,1.0,82,82450,34.0,0.366
SEG_SVR_009,Swami Vivekanand (SV) Road - Section 9 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.09722,72.84022,19.1025,72.84075,5.18,8.0,30,87550,47.0,0.478
SEG_SVR_010,Swami Vivekanand (SV) Road - Section 10 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.1025,72.84075,19.10778,72.84128,5.02,4.0,60,92649,60.0,0.414
SEG_SVR_011,Swami Vivekanand (SV) Road - Section 11 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.10778,72.84128,19.11306,72.84181,6.05,11.0,30,72250,73.0,0.526
SEG_SVR_012,Swami Vivekanand (SV) Road - Section 12 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.11306,72.84181,19.11833,72.84233,7.09,7.0,37,77350,86.0,0.462
SEG_SVR_013,Swami Vivekanand (SV) Road - Section 13 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.11833,72.84233,19.12361,72.84286,6.93,3.0,67,82450,19.0,0.398
SEG_SVR_014,Swami Vivekanand (SV) Road - Section 14 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.12361,72.84286,19.12889,72.84339,7.96,10.0,30,87550,32.0,0.51
SEG_SVR_015,Swami Vivekanand (SV) Road - Section 15 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.12889,72.84339,19.13417,72.84392,9.0,6.0,45,92649,45.0,0.446
SEG_SVR_016,Swami Vivekanand (SV) Road - Section 16 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.13417,72.84392,19.13944,72.84444,8.84,2.0,75,72250,58.0,0.382
SEG_SVR_017,Swami Vivekanand (SV) Road - Section 17 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.13944,72.84444,19.14472,72.84497,9.87,9.0,30,77350,71.0,0.494
SEG_SVR_018,Swami Vivekanand (SV) Road - Section 18 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.14472,72.84497,19.15,72.8455,10.91,5.0,52,82450,84.0,0.43
SEG_SVR_019,Swami Vivekanand (SV) Road - Section 19 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.15,72.8455,19.15528,72.84603,10.74,1.0,82,87550,17.0,0.366
SEG_SVR_020,Swami Vivekanand (SV) Road - Section 20 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.15528,72.84603,19.16056,72.84656,11.78,8.0,30,92649,30.0,0.478
SEG_SVR_021,Swami Vivekanand (SV) Road - Section 21 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.16056,72.84656,19.16583,72.84708,12.82,4.0,60,72250,43.0,0.414
SEG_SVR_022,Swami Vivekanand (SV) Road - Section 22 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.16583,72.84708,19.17111,72.84761,12.65,11.0,30,77350,56.0,0.526
SEG_SVR_023,Swami Vivekanand (SV) Road - Section 23 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.17111,72.84761,19.17639,72.84814,13.69,7.0,37,82450,69.0,0.462
SEG_SVR_024,Swami Vivekanand (SV) Road - Section 24 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.17639,72.84814,19.18167,72.84867,14.5,3.0,67,87550,82.0,0.398
SEG_SVR_025,Swami Vivekanand (SV) Road - Section 25 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.18167,72.84867,19.18694,72.84919,14.5,10.0,30,92649,15.0,0.51
SEG_SVR_026,Swami Vivekanand (SV) Road - Section 26 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.18694,72.84919,19.19222,72.84972,14.5,6.0,45,72250,28.0,0.446
SEG_SVR_027,Swami Vivekanand (SV) Road - Section 27 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.19222,72.84972,19.1975,72.85025,14.5,2.0,75,77350,41.0,0.382
SEG_SVR_028,Swami Vivekanand (SV) Road - Section 28 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.1975,72.85025,19.20278,72.85078,14.5,9.0,30,82450,54.0,0.494
SEG_SVR_029,Swami Vivekanand (SV) Road - Section 29 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.20278,72.85078,19.20806,72.85131,14.5,5.0,52,87550,67.0,0.43
SEG_SVR_030,Swami Vivekanand (SV) Road - Section 30 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.20806,72.85131,19.21333,72.85183,14.5,1.0,82,92649,80.0,0.366
SEG_SVR_031,Swami Vivekanand (SV) Road - Section 31 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.21333,72.85183,19.21861,72.85236,14.5,8.0,30,72250,13.0,0.478
SEG_SVR_032,Swami Vivekanand (SV) Road - Section 32 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.21861,72.85236,19.22389,72.85289,14.5,4.0,60,77350,26.0,0.414
SEG_SVR_033,Swami Vivekanand (SV) Road - Section 33 (H/W),SVR,H/W,Bituminous Asphalt,4,0.45,19.22389,72.85289,19.22917,72.85342,14.5,11.0,30,82450,39.0,0.526
SEG_SVR_034,Swami Vivekanand (SV) Road - Section 34 (K/W),SVR,K/W,Bituminous Asphalt,4,0.55,19.22917,72.85342,19.23444,72.85394,14.5,7.0,37,87550,52.0,0.462
SEG_SVR_035,Swami Vivekanand (SV) Road - Section 35 (P/N),SVR,P/N,Bituminous Asphalt,4,0.65,19.23444,72.85394,19.23972,72.85447,14.5,3.0,67,92649,65.0,0.398
SEG_SVR_036,Swami Vivekanand (SV) Road - Section 36 (R/C),SVR,R/C,Bituminous Asphalt,4,0.75,19.23972,72.85447,19.245,72.855,14.5,10.0,30,72250,78.0,0.51
SEG_LBS_001,LBS Marg - Section 1 (G/N),LBS,G/N,Bituminous Asphalt,4,0.45,19.04,72.87,19.045,72.87257,5.3,6.0,45,78200,11.0,0.446
SEG_LBS_002,LBS Marg - Section 2 (L),LBS,L,Bituminous Asphalt,4,0.55,19.045,72.87257,19.05,72.87514,5.14,2.0,75,83719,24.0,0.382
SEG_LBS_003,LBS Marg - Section 3 (N),LBS,N,Bituminous Asphalt,4,0.65,19.05,72.87514,19.055,72.87771,5.04,9.0,30,89240,37.0,0.494
SEG_LBS_004,LBS Marg - Section 4 (S),LBS,S,Bituminous Asphalt,4,0.75,19.055,72.87771,19.06,72.88029,3.85,5.0,52,94760,50.0,0.43
SEG_LBS_005,LBS Marg - Section 5 (T),LBS,T,Bituminous Asphalt,4,0.45,19.06,72.88029,19.065,72.88286,4.05,1.0,82,100279,63.0,0.366
SEG_LBS_006,LBS Marg - Section 6 (G/N),LBS,G/N,Bituminous Asphalt,4,0.55,19.065,72.88286,19.07,72.88543,4.52,8.0,30,78200,76.0,0.478
SEG_LBS_007,LBS Marg - Section 7 (L),LBS,L,Bituminous Asphalt,4,0.65,19.07,72.88543,19.075,72.888,4.03,4.0,60,83719,89.0,0.414
SEG_LBS_008,LBS Marg - Section 8 (N),LBS,N,Bituminous Asphalt,4,0.75,19.075,72.888,19.08,72.89057,4.88,11.0,30,89240,22.0,0.526
SEG_LBS_009,LBS Marg - Section 9 (S),LBS,S,Bituminous Asphalt,4,0.45,19.08,72.89057,19.085,72.89314,5.82,7.0,37,94760,35.0,0.462
SEG_LBS_010,LBS Marg - Section 10 (T),LBS,T,Bituminous Asphalt,4,0.55,19.085,72.89314,19.09,72.89571,5.61,3.0,67,100279,48.0,0.398
SEG_LBS_011,LBS Marg - Section 11 (G/N),LBS,G/N,Bituminous Asphalt,4,0.65,19.09,72.89571,19.095,72.89829,6.62,10.0,30,78200,61.0,0.51
SEG_LBS_012,LBS Marg - Section 12 (L),LBS,L,Bituminous Asphalt,4,0.75,19.095,72.89829,19.1,72.90086,7.65,6.0,45,83719,74.0,0.446
SEG_LBS_013,LBS Marg - Section 13 (N),LBS,N,Bituminous Asphalt,4,0.45,19.1,72.90086,19.105,72.90343,7.49,2.0,75,89240,87.0,0.382
SEG_LBS_014,LBS Marg - Section 14 (S),LBS,S,Bituminous Asphalt,4,0.55,19.105,72.90343,19.11,72.906,8.53,9.0,30,94760,20.0,0.494
SEG_LBS_015,LBS Marg - Section 15 (T),LBS,T,Bituminous Asphalt,4,0.65,19.11,72.906,19.115,72.90857,9.58,5.0,52,100279,33.0,0.43
SEG_LBS_016,LBS Marg - Section 16 (G/N),LBS,G/N,Bituminous Asphalt,4,0.75,19.115,72.90857,19.12,72.91114,9.44,1.0,82,78200,46.0,0.366
SEG_LBS_017,LBS Marg - Section 17 (L),LBS,L,Bituminous Asphalt,4,0.45,19.12,72.91114,19.125,72.91371,10.5,8.0,30,83719,59.0,0.478
SEG_LBS_018,LBS Marg - Section 18 (N),LBS,N,Bituminous Asphalt,4,0.55,19.125,72.91371,19.13,72.91629,11.56,4.0,60,89240,72.0,0.414
SEG_LBS_019,LBS Marg - Section 19 (S),LBS,S,Bituminous Asphalt,4,0.65,19.13,72.91629,19.135,72.91886,11.43,11.0,30,94760,85.0,0.526
SEG_LBS_020,LBS Marg - Section 20 (T),LBS,T,Bituminous Asphalt,4,0.75,19.135,72.91886,19.14,72.92143,12.49,7.0,37,100279,18.0,0.462
SEG_LBS_021,LBS Marg - Section 21 (G/N),LBS,G/N,Bituminous Asphalt,4,0.45,19.14,72.92143,19.145,72.924,13.56,3.0,67,78200,31.0,0.398
SEG_LBS_022,LBS Marg - Section 22 (L),LBS,L,Bituminous Asphalt,4,0.55,19.145,72.924,19.15,72.92657,13.42,10.0,30,83719,44.0,0.51
SEG_LBS_023,LBS Marg - Section 23 (N),LBS,N,Bituminous Asphalt,4,0.65,19.15,72.92657,19.155,72.92914,14.49,6.0,45,89240,57.0,0.446
SEG_LBS_024,LBS Marg - Section 24 (S),LBS,S,Bituminous Asphalt,4,0.75,19.155,72.92914,19.16,72.93171,14.5,2.0,75,94760,70.0,0.382
SEG_LBS_025,LBS Marg - Section 25 (T),LBS,T,Bituminous Asphalt,4,0.45,19.16,72.93171,19.165,72.93429,14.5,9.0,30,100279,83.0,0.494
SEG_LBS_026,LBS Marg - Section 26 (G/N),LBS,G/N,Bituminous Asphalt,4,0.55,19.165,72.93429,19.17,72.93686,14.5,5.0,52,78200,16.0,0.43
SEG_LBS_027,LBS Marg - Section 27 (L),LBS,L,Bituminous Asphalt,4,0.65,19.17,72.93686,19.175,72.93943,14.5,1.0,82,83719,29.0,0.366
SEG_LBS_028,LBS Marg - Section 28 (N),LBS,N,Bituminous Asphalt,4,0.75,19.175,72.93943,19.18,72.942,14.5,8.0,30,89240,42.0,0.478
SEG_LBS_029,LBS Marg - Section 29 (S),LBS,S,Bituminous Asphalt,4,0.45,19.18,72.942,19.185,72.94457,14.5,4.0,60,94760,55.0,0.414
