source_road_id,target_road_id,distance_km,connection_type,capacity_pcu_per_hr
RD_LOC_021,RD_LOC_035,4.8,Intersection,2400
RD_LOC_021,RD_AMB_02,3.61,Intersection,2400
RD_LOC_021,RD_WEH_03,11.93,Intersection,2400
RD_LOC_022,RD_EEH_04,22.82,Intersection,4800
RD_LOC_022,RD_WEH_01,10.97,Intersection,4800
RD_LOC_022,RD_EEH_01,10.45,Intersection,4800
RD_LOC_023,RD_EEH_02,6.12,Intersection,4800
RD_LOC_023,RD_WEH_05,22.75,Intersection,4800
RD_LOC_023,RD_LOC_071,3.51,Intersection,4800
RD_LOC_024,RD_EEH_02,20.25,Intersection,2400
RD_LOC_024,RD_EEH_04,14.14,Intersection,2400
RD_LOC_024,RD_WEH_02,17.41,Intersection,2400
RD_LOC_025,RD_EEH_03,13.74,Intersection,2400
RD_LOC_025,RD_LOC_011,1.41,Intersection,2400
RD_LOC_025,RD_WEH_02,10.02,Intersection,2400
RD_LOC_026,RD_WEH_05,9.5,Intersection,4800
RD_LOC_026,RD_LOC_041,4.41,Intersection,4800
RD_LOC_026,RD_WEH_04,8.89,Intersection,4800
RD_LOC_027,RD_EEH_01,12.96,Intersection,2400
RD_LOC_027,RD_LOC_058,2.7,Intersection,2400
RD_LOC_027,RD_LOC_070,3.94,Intersection,2400
RD_LOC_028,RD_EEH_04,13.96,Intersection,4800
RD_LOC_028,RD_WEH_05,22.42,Intersection,4800
RD_LOC_028,RD_LOC_021,2.28,Intersection,4800
RD_LOC_029,RD_WEH_02,9.15,Intersection,2400
RD_LOC_029,RD_SNB_01,2.93,Intersection,2400
RD_LOC_029,RD_EEH_04,17.46,Intersection,2400
RD_LOC_030,RD_WEH_01,14.76,Intersection,2400
RD_LOC_030,RD_EEH_04,25.27,Intersection,2400
RD_LOC_030,RD_WEH_03,22.13,Intersection,2400
RD_LOC_031,RD_WEH_05,27.28,Intersection,2400
RD_LOC_031,RD_WEH_03,15.66,Intersection,2400
RD_LOC_031,RD_EEH_01,7.19,Intersection,2400
RD_LOC_032,RD_WEH_04,15.19,Intersection,2400
RD_LOC_032,RD_LOC_015,1.58,Intersection,2400
RD_LOC_032,RD_EEH_01,5.08,Intersection,2400
RD_LOC_033,RD_LOC_074,3.3,Intersection,2400
RD_LOC_033,RD_EEH_02,23.35,Intersection,2400
RD_LOC_033,RD_LOC_063,2.35,Intersection,2400
RD_LOC_034,RD_SVR_03,5.46,Intersection,2400
RD_LOC_034,RD_EEH_03,10.46,Intersection,2400
RD_LOC_034,RD_EEH_02,10.68,Intersection,2400
RD_LOC_035,RD_LOC_021,4.8,Intersection,4800
RD_LOC_035,RD_EEH_02,5.21,Intersection,4800
RD_LOC_035,RD_WEH_04,14.07,Intersection,4800
RD_LOC_036,RD_WEH_02,4.03,Intersection,4800
RD_LOC_036,RD_EEH_03,9.81,Intersection,4800
RD_LOC_036,RD_EEH_01,5.95,Intersection,4800
RD_LOC_037,RD_LBS_01,4.85,Intersection,4800
RD_LOC_037,RD_WEH_05,15.94,Intersection,4800
RD_LOC_037,RD_WEH_01,5.58,Intersection,4800
RD_LOC_038,RD_WEH_04,18.42,Intersection,4800
RD_LOC_038,RD_EEH_01,7.45,Intersection,4800
RD_LOC_038,RD_EEH_02,10.57,Intersection,4800
RD_LOC_039,RD_EEH_03,13.79,Intersection,2400
RD_LOC_039,RD_EEH_02,16.63,Intersection,2400
RD_LOC_039,RD_LOC_075,1.45,Intersection,2400
RD_LOC_040,RD_WEH_05,19.8,Intersection,2400
RD_LOC_040,RD_WEH_02,6.43,Intersection,2400
RD_LOC_040,RD_LBS_01,3.1,Intersection,2400
RD_LOC_041,RD_EEH_01,18.28,Intersection,2400
RD_LOC_041,RD_WEH_01,18.6,Intersection,2400
RD_LOC_041,RD_WEH_04,12.47,Intersection,2400
RD_LOC_042,RD_EEH_03,17.74,Intersection,4800
RD_LOC_042,RD_WEH_04,9.06,Intersection,4800
RD_LOC_042,RD_LNK_05,5.51,Intersection,4800
RD_LOC_043,RD_LOC_079,3.02,Intersection,4800
RD_LOC_043,RD_LOC_085,1.62,Intersection,4800
RD_LOC_043,RD_WEH_01,12.71,Intersection,4800
RD_LOC_044,RD_WEH_02,10.75,Intersection,4800
RD_LOC_044,RD_LOC_084,3.36,Intersection,4800
RD_LOC_044,RD_WEH_04,4.7,Intersection,4800
RD_LOC_045,RD_EEH_01,14.27,Intersection,4800
RD_LOC_045,RD_EEH_03,21.92,Intersection,4800
RD_LOC_045,RD_LOC_065,1.44,Intersection,4800
RD_LOC_046,RD_WEH_04,13.73,Intersection,2400
RD_LOC_046,RD_EEH_03,5.26,Intersection,2400
RD_LOC_046,RD_LOC_050,2.74,Intersection,2400
RD_LOC_047,RD_EEH_01,0.35,Intersection,2400
RD_LOC_047,RD_WEH_03,8.94,Intersection,2400
RD_LOC_047,RD_EEH_04,12.42,Intersection,2400
RD_LOC_048,RD_LOC_064,0.38,Intersection,4800
RD_LOC_048,RD_EEH_01,11.43,Intersection,4800
RD_LOC_048,RD_WEH_05,31.54,Intersection,4800
RD_LOC_049,RD_EEH_03,6.2,Intersection,2400
RD_LOC_049,RD_LOC_070,3.89,Intersection,2400
RD_LOC_049,RD_LOC_003,2.56,Intersection,2400
RD_LOC_050,RD_WEH_01,4.66,Intersection,2400
RD_LOC_050,RD_WEH_02,5.9,Intersection,2400
RD_LOC_050,RD_WEH_04,13.27,Intersection,2400
RD_LOC_051,RD_LOC_039,3.12,Intersection,2400
RD_LOC_051,RD_LOC_075,3.43,Intersection,2400
RD_LOC_051,RD_LOC_006,1.95,Intersection,2400
RD_LOC_052,RD_EEH_04,19.66,Intersection,2400
RD_LOC_052,RD_LOC_062,0.32,Intersection,2400
RD_LOC_052,RD_EEH_02,10.61,Intersection,2400
RD_LOC_053,RD_EEH_01,14.66,Intersection,2400
RD_LOC_053,RD_LNK_04,0.38,Intersection,2400
RD_LOC_053,RD_WEH_01,12.41,Intersection,2400
RD_LOC_054,RD_WEH_02,5.55,Intersection,4800
RD_LOC_054,RD_WEH_05,10.95,Intersection,4800
RD_LOC_054,RD_EEH_01,10.22,Intersection,4800
RD_LOC_055,RD_WEH_05,29.66,Intersection,2400
RD_LOC_055,RD_WEH_04,22.65,Intersection,2400
RD_LOC_055,RD_EEH_02,11.97,Intersection,2400
RD_LOC_056,RD_LOC_013,2.88,Intersection,4800
RD_LOC_056,RD_EEH_03,12.26,Intersection,4800
RD_LOC_056,RD_WEH_05,11.36,Intersection,4800
RD_LOC_057,RD_WEH_03,1.16,Intersection,2400
RD_LOC_057,RD_JVL_01,0.28,Intersection,2400
RD_LOC_057,RD_LOC_004,3.46,Intersection,2400
RD_LOC_058,RD_WEH_03,8.91,Intersection,2400
RD_LOC_058,RD_JVL_02,4.76,Intersection,2400
RD_LOC_058,RD_LOC_003,1.55,Intersection,2400
RD_LOC_059,RD_EEH_04,20.17,Intersection,2400
RD_LOC_059,RD_EEH_03,15.7,Intersection,2400
RD_LOC_059,RD_WEH_02,13.27,Intersection,2400
RD_LOC_060,RD_EEH_01,3.5,Intersection,2400
RD_LOC_060,RD_EEH_02,2.62,Intersection,2400
RD_LOC_060,RD_WEH_03,5.64,Intersection,2400
RD_LOC_061,RD_LOC_010,1.98,Intersection,4800
RD_LOC_061,RD_EEH_01,14.01,Intersection,4800
RD_LOC_061,RD_LOC_003,1.3,Intersection,4800
RD_LOC_062,RD_WEH_01,8.75,Intersection,4800
RD_LOC_062,RD_EEH_03,15.5,Intersection,4800
RD_LOC_062,RD_WEH_05,27.79,Intersection,4800
RD_LOC_063,RD_LOC_074,2.73,Intersection,4800
RD_LOC_063,RD_LOC_033,2.35,Intersection,4800
RD_LOC_063,RD_LOC_008,2.41,Intersection,4800
RD_LOC_064,RD_EEH_01,11.77,Intersection,2400
RD_LOC_064,RD_WEH_03,20.24,Intersection,2400
RD_LOC_064,RD_LOC_082,1.37,Intersection,2400
RD_LOC_065,RD_WEH_04,29.02,Intersection,2400
RD_LOC_065,RD_EEH_04,27.82,Intersection,2400
RD_LOC_065,RD_WEH_03,24.39,Intersection,2400
RD_LOC_066,RD_WEH_04,3.19,Intersection,4800
RD_LOC_066,RD_LNK_02,6.53,Intersection,4800
RD_LOC_066,RD_WEH_01,9.35,Intersection,4800
RD_LOC_067,RD_WEH_03,2.71,Intersection,4800
RD_LOC_067,RD_LOC_066,1.33,Intersection,4800
RD_LOC_067,RD_EEH_02,8.97,Intersection,4800
RD_LOC_068,RD_WEH_01,3.4,Intersection,2400
RD_LOC_068,RD_EEH_01,1.03,Intersection,2400
RD_LOC_068,RD_WEH_04,14.72,Intersection,2400
RD_LOC_069,RD_WEH_03,17.25,Intersection,2400
RD_LOC_069,RD_EEH_02,12.99,Intersection,2400
RD_LOC_069,RD_WEH_02,13.72,Intersection,2400
RD_LOC_070,RD_EEH_04,4.45,Intersection,4800
RD_LOC_070,RD_LOC_027,3.94,Intersection,4800
RD_LOC_070,RD_WEH_02,13.44,Intersection,4800
RD_LOC_071,RD_LOC_023,3.51,Intersection,2400
RD_LOC_071,RD_LOC_032,1.93,Intersection,2400
RD_LOC_071,RD_WEH_05,19.89,Intersection,2400
RD_LOC_072,RD_WEH_03,5.74,Intersection,2400
RD_LOC_072,RD_LOC_077,1.9,Intersection,2400
RD_LOC_072,RD_WEH_04,9.19,Intersection,2400
RD_LOC_073,RD_SVR_01,2.76,Intersection,2400
RD_LOC_073,RD_WEH_05,16.38,Intersection,2400
RD_LOC_073,RD_LNK_01,2.32,Intersection,2400
RD_LOC_074,RD_WEH_05,3.12,Intersection,2400
RD_LOC_074,RD_LOC_042,1.22,Intersection,2400
RD_LOC_074,RD_LNK_05,6.43,Intersection,2400
RD_LOC_075,RD_LOC_039,1.45,Intersection,4800
RD_LOC_075,RD_EEH_04,12.1,Intersection,4800
RD_LOC_075,RD_LOC_051,3.43,Intersection,4800
RD_LOC_076,RD_LOC_001,2.14,Intersection,2400
RD_LOC_076,RD_WEH_03,18.68,Intersection,2400
RD_LOC_076,RD_WEH_05,30.33,Intersection,2400
RD_LOC_077,RD_WEH_05,17.44,Intersection,4800
RD_LOC_077,RD_EEH_01,5.9,Intersection,4800
RD_LOC_077,RD_LOC_072,1.9,Intersection,4800
RD_LOC_078,RD_WEH_05,20.05,Intersection,4800
RD_LOC_078,RD_WEH_02,9.19,Intersection,4800
RD_LOC_078,RD_EEH_04,8.24,Intersection,4800
RD_LOC_079,RD_EEH_01,17.12,Intersection,2400
RD_LOC_079,RD_LOC_085,1.9,Intersection,2400
RD_LOC_079,RD_WEH_03,8.12,Intersection,2400
RD_LOC_080,RD_LOC_077,1.27,Intersection,4800
RD_LOC_080,RD_WEH_01,8.23,Intersection,4800
RD_LOC_080,RD_WEH_04,10.99,Intersection,4800
RD_LOC_081,RD_LOC_082,1.56,Intersection,4800
RD_LOC_081,RD_LOC_064,1.15,Intersection,4800
RD_LOC_081,RD_EEH_02,14.88,Intersection,4800
RD_LOC_082,RD_LOC_005,0.92,Intersection,2400
RD_LOC_082,RD_LOC_048,1.65,Intersection,2400
RD_LOC_082,RD_WEH_01,14.16,Intersection,2400
RD_LOC_083,RD_EEH_02,16.77,Intersection,2400
RD_LOC_083,RD_LOC_024,4.08,Intersection,2400
RD_LOC_083,RD_SVR_06,2.97,Intersection,2400
RD_LOC_084,RD_SVR_05,3.86,Intersection,2400
RD_LOC_084,RD_LOC_053,2.81,Intersection,2400
RD_LOC_084,RD_LOC_079,2.05,Intersection,2400
RD_LOC_085,RD_WEH_03,6.4,Intersection,2400
RD_LOC_085,RD_WEH_01,13.16,Intersection,2400
RD_LOC_085,RD_LOC_044,1.76,Intersection,2400
